Date,Close
6/15/2018,189.04
6/18/2018,189.32
6/19/2018,188.01
6/20/2018,188.53
6/21/2018,186.86
6/22/2018,185.87
6/25/2018,181.57
6/26/2018,182.53
6/27/2018,179.73
6/28/2018,181.29
6/29/2018,181.4
7/2/2018,183.3
7/3/2018,181.26
7/5/2018,183.64
7/6/2018,185.83
7/9/2018,187.44
7/10/2018,187.82
7/11/2018,186.83
7/12/2018,190
7/13/2018,189.76
7/16/2018,189.1
7/17/2018,190.64
7/18/2018,190.53
7/19/2018,190.33
7/20/2018,190.2
7/23/2018,190.95
7/24/2018,190.66
7/25/2018,193.41
7/26/2018,192.74
7/27/2018,188.99
7/30/2018,185.6
7/31/2018,186.16
8/1/2018,188.3
8/2/2018,191.02
8/3/2018,191.51
8/6/2018,192.64
8/7/2018,193.41
8/8/2018,193.78
8/9/2018,193.96
8/10/2018,192.69
8/13/2018,192.33
8/14/2018,193.59
8/15/2018,191.88
8/16/2018,193.06
8/17/2018,193.74
8/20/2018,193.56
8/21/2018,193.98
8/22/2018,194.97
8/23/2018,195.59
8/24/2018,197.83
8/27/2018,199.35
8/28/2018,200.3
8/29/2018,202.22
8/30/2018,201.73
8/31/2018,202.8
9/4/2018,203.09
9/5/2018,199.93
9/6/2018,198.86
9/7/2018,198.25
9/10/2018,198.98
9/11/2018,200.24
9/12/2018,199.85
9/13/2018,202.16
9/14/2018,202.35
9/17/2018,199.29
9/18/2018,200.6
9/19/2018,199.61
9/20/2018,201.77
9/21/2018,201.45
9/24/2018,201.54
9/25/2018,201.61
9/26/2018,200.66
9/27/2018,201.66
9/28/2018,202.56
10/1/2018,202.93
10/2/2018,202.67
10/3/2018,203.56
10/4/2018,199.98
10/5/2018,197.35
10/8/2018,194.76
10/9/2018,195.27
10/10/2018,186.2
10/11/2018,183.6
10/12/2018,189.26
10/15/2018,186.55
10/16/2018,192.35
10/17/2018,191.67
10/18/2018,187.8
10/19/2018,187.26
10/22/2018,188.78
10/23/2018,188.07
10/24/2018,179.63
10/25/2018,185.4
10/26/2018,181.68
10/29/2018,178.68
10/30/2018,180.97
10/31/2018,185.39
11/1/2018,187.93
11/2/2018,184.51
11/5/2018,184.07
11/6/2018,185.19
11/7/2018,190.5
11/8/2018,190.15
11/9/2018,186.87
11/12/2018,180.44
11/13/2018,180.52
11/14/2018,178.56
11/15/2018,183.03
11/16/2018,182.77
11/19/2018,175.57
11/20/2018,172
11/21/2018,173.45
11/23/2018,172.29
11/26/2018,176.03
11/27/2018,176.17
11/28/2018,182.32
11/29/2018,180.88
11/30/2018,182.67
12/3/2018,186.52
12/4/2018,179.35
12/6/2018,179.89
12/7/2018,173.67
12/10/2018,175.97
12/11/2018,176.05
12/12/2018,177.63
12/13/2018,177
12/14/2018,172.87
12/17/2018,168.87
12/18/2018,170.28
12/19/2018,166.82
12/20/2018,163.97
12/21/2018,158.9
12/24/2018,154.81
12/26/2018,164.16
12/27/2018,165.51
12/28/2018,165.17
12/31/2018,166.83
1/2/2019,166.93
1/3/2019,158.68
1/4/2019,165.58
1/7/2019,167.43
1/8/2019,169.04
1/9/2019,171.15
1/10/2019,171.95
1/11/2019,171.85
1/14/2019,170.15
1/15/2019,172.66
1/16/2019,172.84
1/17/2019,174.16
1/18/2019,176.75
1/22/2019,173.84
1/23/2019,174.25
1/24/2019,176.04
1/25/2019,178.77
1/28/2019,176.54
1/29/2019,174.77
1/30/2019,179.79
1/31/2019,180.16
2/1/2019,181.38
2/4/2019,184.23
2/5/2019,185.75
2/6/2019,186.4
2/7/2019,183.88
2/8/2019,185.07
2/11/2019,185.17
2/12/2019,187.68
2/13/2019,187.97
2/14/2019,188.41
2/15/2019,189.85
2/19/2019,190
2/20/2019,190.27
2/21/2019,190.23
2/22/2019,192.77
2/25/2019,193.67
2/26/2019,193.98
2/27/2019,193.98
2/28/2019,193.36
3/1/2019,194.6
3/4/2019,193.48
3/5/2019,192.83
3/6/2019,191.58
3/7/2019,189.92
3/8/2019,189.94
3/11/2019,194.11
3/12/2019,195.07
3/13/2019,196.29
3/14/2019,196.68
3/15/2019,198.89
3/18/2019,199.65
3/19/2019,200.13
3/20/2019,199.52
3/21/2019,203.88
3/22/2019,198.7
3/25/2019,197.89
3/26/2019,199.04
3/27/2019,197.79
3/28/2019,198.62
3/29/2019,200.63
4/1/2019,203.44
4/2/2019,204.02
4/3/2019,205.74
4/4/2019,204.64
4/5/2019,205.61
4/8/2019,206.43
4/9/2019,205.48
4/10/2019,207.12
4/11/2019,207.02
4/12/2019,208.36
4/15/2019,208.36
4/16/2019,209.26
4/17/2019,210.01
4/18/2019,210.39
4/22/2019,211.04
4/23/2019,213.47
4/24/2019,213.61
4/25/2019,213.34
4/26/2019,212.89
4/29/2019,213.03
4/30/2019,213.41
5/1/2019,212.59
5/2/2019,211.61
5/3/2019,213.69
5/6/2019,212.25
5/7/2019,207.74
5/8/2019,207.36
5/9/2019,205.97
5/10/2019,206.55
5/13/2019,198.54
5/14/2019,201.87
5/15/2019,203.94
5/16/2019,206.05
5/17/2019,204
5/20/2019,200.43
5/21/2019,203.17
5/22/2019,201.94
5/23/2019,198.27
5/24/2019,198.43
5/28/2019,197.81
5/29/2019,196.48
5/30/2019,197.64
