Date,Close
6/15/2018,144.15
6/18/2018,143.99
6/19/2018,143.51
6/20/2018,143.84
6/21/2018,142.85
6/22/2018,142.45
6/25/2018,140.45
6/26/2018,140.77
6/27/2018,139.46
6/28/2018,140.33
6/29/2018,140.43
7/2/2018,140.77
7/3/2018,140.41
7/5/2018,141.6
7/6/2018,142.79
7/9/2018,144.09
7/10/2018,144.46
7/11/2018,143.43
7/12/2018,144.61
7/13/2018,144.7
7/16/2018,144.47
7/17/2018,145.13
7/18/2018,145.45
7/19/2018,145.1
7/20/2018,144.84
7/23/2018,145.07
7/24/2018,145.39
7/25/2018,146.63
7/26/2018,146.39
7/27/2018,145.22
7/30/2018,144.27
7/31/2018,145.09
8/1/2018,144.92
8/2/2018,145.78
8/3/2018,146.27
8/6/2018,146.93
8/7/2018,147.41
8/8/2018,147.27
8/9/2018,147.17
8/10/2018,146.25
8/13/2018,145.69
8/14/2018,146.65
8/15/2018,145.49
8/16/2018,146.63
8/17/2018,147.17
8/20/2018,147.45
8/21/2018,148
8/22/2018,148.05
8/23/2018,147.76
8/24/2018,148.68
8/27/2018,149.75
8/28/2018,149.84
8/29/2018,150.63
8/30/2018,150.01
8/31/2018,150.07
9/4/2018,149.86
9/5/2018,149.37
9/6/2018,148.92
9/7/2018,148.58
9/10/2018,148.9
9/11/2018,149.4
9/12/2018,149.41
9/13/2018,150.16
9/14/2018,150.28
9/17/2018,149.33
9/18/2018,150.13
9/19/2018,150.15
9/20/2018,151.31
9/21/2018,151.16
9/24/2018,150.61
9/25/2018,150.53
9/26/2018,149.95
9/27/2018,150.3
9/28/2018,149.65
10/1/2018,149.88
10/2/2018,149.66
10/3/2018,149.86
10/4/2018,148.59
10/5/2018,147.63
10/8/2018,147.52
10/9/2018,147.26
10/10/2018,142.57
10/11/2018,139.53
10/12/2018,141.37
10/15/2018,140.74
10/16/2018,143.84
10/17/2018,143.8
10/18/2018,141.72
10/19/2018,141.35
10/22/2018,140.79
10/23/2018,139.96
10/24/2018,135.61
10/25/2018,138.16
10/26/2018,135.77
10/29/2018,135.02
10/30/2018,137.13
10/31/2018,138.56
11/1/2018,140.13
11/2/2018,139.56
11/5/2018,140.24
11/6/2018,141.04
11/7/2018,143.92
11/8/2018,143.64
11/9/2018,142.17
11/12/2018,139.44
11/13/2018,139.24
11/14/2018,138.22
11/15/2018,139.78
11/16/2018,140.08
11/19/2018,137.65
11/20/2018,135.2
11/21/2018,135.86
11/23/2018,135.13
11/26/2018,137.23
11/27/2018,137.4
11/28/2018,140.6
11/29/2018,140.34
11/30/2018,141.35
12/3/2018,143
12/4/2018,138.33
12/6/2018,138.16
12/7/2018,134.9
12/10/2018,135.05
12/11/2018,135.02
12/12/2018,135.79
12/13/2018,135.46
12/14/2018,133.12
12/17/2018,130.28
12/18/2018,130.24
12/19/2018,128.24
12/20/2018,126.17
12/21/2018,123.49
12/24/2018,119.7
12/26/2018,125.46
12/27/2018,126.59
12/28/2018,126.43
12/31/2018,127.63
1/2/2019,127.73
1/3/2019,124.77
1/4/2019,128.9
1/7/2019,130.2
1/8/2019,131.54
1/9/2019,132.16
1/10/2019,132.81
1/11/2019,132.84
1/14/2019,132
1/15/2019,133.44
1/16/2019,133.82
1/17/2019,134.9
1/18/2019,136.65
1/22/2019,134.78
1/23/2019,134.92
1/24/2019,135.2
1/25/2019,136.47
1/28/2019,135.47
1/29/2019,135.28
1/30/2019,137.32
1/31/2019,138.53
2/1/2019,138.73
2/4/2019,139.72
2/5/2019,140.3
2/6/2019,140.16
2/7/2019,138.83
2/8/2019,138.97
2/11/2019,139.26
2/12/2019,141
2/13/2019,141.44
2/14/2019,141.19
2/15/2019,142.74
2/19/2019,143.02
2/20/2019,143.32
2/21/2019,142.83
2/22/2019,143.77
2/25/2019,143.98
2/26/2019,143.71
2/27/2019,143.76
2/28/2019,143.46
3/1/2019,144.42
3/4/2019,143.75
3/5/2019,143.48
3/6/2019,142.39
3/7/2019,141.28
3/8/2019,140.99
3/11/2019,143.06
3/12/2019,143.54
3/13/2019,144.46
3/14/2019,144.34
3/15/2019,145.01
3/18/2019,145.55
3/19/2019,145.52
3/20/2019,144.92
3/21/2019,146.62
3/22/2019,143.56
3/25/2019,142.69
3/26/2019,143.79
3/27/2019,143.13
3/28/2019,143.76
3/29/2019,144.71
4/1/2019,146.39
4/2/2019,146.38
4/3/2019,146.73
4/4/2019,147.04
4/5/2019,147.78
4/8/2019,147.91
4/9/2019,147.02
4/10/2019,147.7
4/11/2019,147.69
4/12/2019,148.68
4/15/2019,148.56
4/16/2019,148.6
4/17/2019,148.05
4/18/2019,148.27
4/22/2019,148.31
4/23/2019,149.8
4/24/2019,149.6
4/25/2019,149.35
4/26/2019,150.16
4/29/2019,150.38
4/30/2019,150.39
5/1/2019,149.27
5/2/2019,149.02
5/3/2019,150.63
5/6/2019,150.15
5/7/2019,147.56
5/8/2019,147.32
5/9/2019,146.85
5/10/2019,147.53
5/13/2019,143.8
5/14/2019,145.1
5/15/2019,145.96
5/16/2019,147.28
5/17/2019,146.24
5/20/2019,145.2
5/21/2019,146.62
5/22/2019,146.09
5/23/2019,144.23
5/24/2019,144.58
5/28/2019,143.31
5/29/2019,142.33
5/30/2019,142.61
